Wavelength,ABS,EMS,RI
499.9975281,23.389993700836,0.2311307823,1.638
499.0131531,23.389993700836,0.2457378723,1.638
497.9906311,23.133075273336,0.2671333553,1.638
497.0058289,23.251059498590003,0.2884423357,1.638
495.9829102,23.175621277214,0.2993551854,1.638
494.9976807,23.086479250282,0.3033910257,1.638
494.0122681,23.086479250282,0.2892926152,1.638
492.9887085,22.969061793622,0.283545021,1.638
492.0028687,23.039004711688,0.2819296273,1.638
491.0168457,23.039004711688,0.2913973663,1.638
489.9926453,22.849891435532,0.3023784924,1.638
489.0061951,22.734639979898002,0.3105717202,1.638
487.9815979,22.595350553405,0.3357357563,1.638
486.994751,22.58498854801,0.3525517441,1.638
486.0077209,22.513674273993004,0.3689279544,1.638
484.9825134,22.682441944309,0.3705296386,1.638
483.9950867,22.539537887839,0.3703527709,1.638
483.0074158,22.484551292189003,0.3748594628,1.638
481.9815369,22.575340522126,0.3796494486,1.638
480.9935608,22.547174791862002,0.3924045953,1.638
480.0053406,22.470936907321,0.3991128139,1.638
479.0167847,22.470936907321,0.4121093745,1.638
477.9901733,22.501078183276004,0.4337728496,1.638
477.0013428,22.413838654578,0.4433133535,1.638
476.0123291,22.531228396432002,0.4510739933,1.638
474.9850769,22.464512355621,0.4663618901,1.638
473.995636,22.413246814021,0.4792405375,1.638
473.0060425,22.244624925404,0.4851572702,1.638
472.0162354,22.520433356869002,0.4982230044,1.638
470.9881287,22.341603344256,0.5244333082,1.638
469.9979553,22.239896349804,0.5398743273,1.638
469.0075684,22.259540648239998,0.5485711491,1.638
468.0169067,22.141922843439,0.5685419113,1.638
466.9880676,22.023494384752002,0.5764699301,1.638
465.9971313,22.041413815764,0.6013593871,1.638
465.0059204,22.041413815764,0.6069619849,1.638
464.0145874,22.013190695734,0.6235914663,1.638
462.9849243,21.792722380037,0.6408068741,1.638
461.9931641,21.658348063772,0.650616896,1.638
461.0012512,21.732814920579003,0.6762077441,1.638
460.0091858,21.429763932066002,0.6809739877,1.638
459.0168152,21.35926044826,0.6980632626,1.638
457.9862061,21.340815010228,0.7150664118,1.638
456.9935608,21.142524178664,0.7245845296,1.638
456.0006714,21.120580781846,0.7448038375,1.638
455.0076294,21.059443250209,0.7496966674,1.638
454.0144043,20.924623959701,0.7632892145,1.638
452.9827271,20.706266440055,0.7815125954,1.638
451.9891052,20.706266440055,0.7926547732,1.638
450.9953613,20.728006261087998,0.811922833,1.638
450.0013733,20.650851059454002,0.8165901094,1.638
449.0071716,20.441819047076002,0.8307459985,1.638
448.0128784,20.451740665531,0.8472740767,1.638
447.0183411,20.47898625458,0.857508622,1.638
445.9853516,20.232957997952,0.8748593092,1.638
444.990448,20.232957997952,0.8862892872,1.638
443.9953918,20.120754924794998,0.8925319275,1.638
443.0001221,19.97364820332,0.9087250521,1.638
442.0047302,19.840511706616997,0.9148842647,1.638
441.0090332,19.683908906438003,0.9299703337,1.638
440.0133057,19.676017250491,0.9348231219,1.638
439.017334,19.468614087251,0.9442864625,1.638
437.9828491,19.120276896924,0.9563531829,1.638
436.9865112,18.964856278151,0.9597094543,1.638
435.9900208,18.785035288922,0.9704347349,1.638
434.9933167,18.785035288922,0.9771234369,1.638
433.9964294,18.525171527212002,0.9804235187,1.638
432.9994202,18.31170416859,0.9876752109,1.638
432.0021362,18.037688073055,0.9901002146,1.638
431.0047607,17.762811979969,0.9946755974,1.638
430.0071411,17.425316696011002,0.9939415363,1.638
429.0094604,17.114284781685,0.9970100722,1.638
428.0115051,16.945966127349,0.9961355224,1.638
427.0133972,16.610280038667,0.9945080935,1.638
426.0151062,16.366045307521002,0.9934814392,1.638
425.0166626,16.03471770159,0.9931296809,1.638
424.0180664,15.611429128141001,0.9903432261,1.638
422.980896,14.932434339599002,0.9873671972,1.638
421.9819031,14.621658995706001,0.9853279914,1.638
420.9827881,14.258703300835,0.9772126257,1.638
419.983429,13.915525746822,0.9723126705,1.638
418.9839783,13.416743039063,0.9684620259,1.638
417.984314,13.049804275886,0.958219664,1.638
416.9845276,12.591649617841,0.9475563932,1.638
415.9844971,12.104934915388,0.9288847642,1.638
414.9843445,11.617235675646999,0.9175698245,1.638
413.9840393,11.095786088177002,0.9076564669,1.638
412.9834595,10.540171281024001,0.8867623724,1.638
411.9828491,10.012923982558002,0.8721513615,1.638
410.9819946,9.394341733742001,0.84578891,1.638
409.9810181,8.785584093180999,0.8251778327,1.638
409.0183411,8.785584093180999,0.8016966096,1.638
408.0169983,8.172488275511,0.7923277282,1.638
407.0155029,7.502758385871,0.7589677593,1.638
406.0138245,6.816551766493,0.7466640726,1.638
405.0119934,6.175163910055001,0.7060971712,1.638
404.0100098,5.520841498914001,0.6973018006,1.638
403.0078735,4.866827403452,0.6509535283,1.638
402.0055542,4.261009990832,0.6358511177,1.638
401.0030518,3.181591121149,0.5992219981,1.638
400.0004272,2.7242619641790005,0.5856299569,1.638
399.0,0.0,0.57,1.638
